EBM,Date,Unit/Pen,Pre/Post Fish,Format,Volume (L),Filter weight (g),Biomass (g/L),sample,Aeromonas,Aeromonas hydrophila,Aeromonas salmonicida,Aliivibrio,Aliivibrio salmonicida,Caligus,Caligus rogercresseyi,Candidatus,Chryseobacterium,Flavobacterium,Flavobacterium branchiophilum,Flavobacterium psychrophilum,Francisella,Hafnia,Klebsiella,Klebsiella oxytoca,Moritella,Moritella viscosa,Piscirickettsia,Piscirickettsia salmonis,Pseudomonas,Pseudomonas fluorescens,Shewanella,Shewanella colwelliana,Staphylococcus,Staphylococcus epidermidis,Staphylococcus warneri,Streptococcus,Tenacibaculum,Tenacibaculum maritimum,Vibrio,Vibrio alginolyticus,Vibrio anguillarum,Vibrio campbellii,Vibrio harveyi,Vibrio parahaemolyticus,Vibrio splendidus,Vibrio tubiashii
EBM440,2024-07-16T10:44:00+00:00,1.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM441,2024-07-16T10:44:00+00:00,7.0,,Mucosal,,,,EBM441_754378_taxon_report.csv,,,,11.2544,11.2544,,,17.666,,,,,,,15550.9,,,,,,3.53097,,8.48179,,9.83455,,,,8.93643,,8877.02021,15.2791,,,22.969,,,
EBM442,2024-07-16T10:44:00+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM443,2024-07-16T10:44:00+00:00,1.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM444,2024-07-16T10:44:00+00:00,1.0,Pre,Water (Unfiltered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM445,2024-07-16T10:44:00+00:00,1.0,Post,Water (Unfiltered),,,,EBM445_754377_taxon_report.csv,10.95745,,,43.243300000000005,13.9055,,,1105.72553,18.14266,1738.683424,,25.0271,10.3333,,1653.64471,,,,2.89748,2.89748,36.009460000000004,,3319.06171,,,,,1.06288,31804.232699999997,,26074.56646,145.771,58.4571,,32.7707,69.0025,1316.9,55.7567
EBM446,2024-07-16T10:44:00+00:00,,,Biofilter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM447,2024-07-16T10:44:00+00:00,1.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM448,2024-07-16T10:44:00+00:00,1.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM449,2024-07-16T10:44:00+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM450,2024-07-16T10:44:00+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM451,2024-07-16T10:44:00+00:00,7.0,Pre,Water (Unfiltered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM452,2024-07-16T10:44:00+00:00,7.0,Post,Water (Unfiltered),,,,EBM452_754376_taxon_report.csv,10.233846,,,,,4.31531,4.31531,1709.50116,6.03205,562.34129,,11.0205,8.18281,,4010.7186,,,,4.19983,4.19983,107.11003,,32767.643358,,0.855253,,,,45397.3649,,6791.326604,176.222,28.992,13.6821,14.5003,71.2961,666.617,
EBM453,2024-07-16T10:44:00+00:00,,,Biofilter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM454,2024-07-31T09:32:00+00:00,1.0,,Mucosal,,,,EBM454_754375_taxon_report.csv,,,,,,,,72.3126,,,,,,,15689.4,,7.45608,,,,,,61.79924,,,,,,,,330828.48463,,550.19,,407.119,532.709,147484.0,
EBM455,2024-07-31T09:33:00+00:00,1.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM456,2024-07-31T09:33:00+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM457,2024-07-31T09:33:00+00:00,1.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM458,2024-07-31T09:33:00+00:00,1.0,,Mucosal,,,,EBM458_754374_taxon_report.csv,11.27183,,1.28292,,,,,7.0374,,24.85237,,,,,15417.33674,,12.13,12.13,,,72.65495,,323.76054,,10.4658,,,,10.25991,,391297.2637,847.995,432.181,,450.833,1006.93,19534.8,
EBM459,2024-07-31T09:33:00+00:00,1.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM460,2024-07-31T09:33:00+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM461,2024-07-31T09:33:00+00:00,1.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM462,2024-07-31T09:33:00+00:00,1.0,Pre,Water (Unfiltered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM463,2024-07-31T09:33:00+00:00,1.0,Post,Water (Unfiltered),,,,EBM463_754373_taxon_report.csv,2.173515,,,1.75028,,,,19372.12121,,,,,,,7328.42942,,,,172.676,172.676,96.230901,,4126.8651899999995,,0.945909,,,,9.44663,,414.575881,205.685,7.06039,,,21.5626,19.3442,
EBM464,2024-07-31T09:33:00+00:00,,,Biofilter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM465,2024-07-31T09:33:00+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM466,2024-07-31T09:33:00+00:00,1.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM467,2024-07-31T09:33:00+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM468,2024-07-31T09:34:00+00:00,7.0,,Mucosal,,,,EBM468_754372_taxon_report.csv,5.24095,,,,,,,32.2441,,,,,,7.53337,15707.5,,,,,,49.54872,,939.27419,,53.7823,,34.1887,,3.97353,3.97353,153379.17207,87.5661,,,91.7943,,,
EBM469,2024-07-31T09:34:00+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM470,2024-07-31T09:34:00+00:00,1.0,,Mucosal,,,,EBM470_754371_taxon_report.csv,37.16134,5.20675,,,,,,47.707609999999995,,,,,,,12799.00707,,3.28917,,,,21.77717,,1258.71526,,17.1417,,,,,,65810.07306,,145.843,,,,35297.9,
EBM471,2024-07-31T09:34:00+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM472,2024-07-31T09:34:00+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM473,2024-07-31T09:34:00+00:00,7.0,Pre,Water (Unfiltered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM474,2024-07-31T09:34:00+00:00,7.0,Post,Water (Unfiltered),,,,EBM474_754370_taxon_report.csv,26.915497,,,124.4092,26.4553,,,1065.848371,7.91327,6501.72317,,,,,7374.86883,,122.993744,73.8216,,,496.993331,2.20133,4671.2172900000005,,3.30657,,3.30657,0.497544,13086.27765,89.7468,91760.498661,512.428,34056.2,41.7917,103.249,377.272,34998.4,19.126
EBM475,2024-07-31T09:34:00+00:00,,,Biofilter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM570,2024-08-14T11:00:00+00:00,1.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM571,2024-08-14T11:00:00+00:00,7.0,,Mucosal,,,,EBM571_754369_taxon_report.csv,,,,,,,,,,,,,,,26453.9,,,,6.79429,6.79429,35.9874,,466.63748,,14.5051,,,,3.47264,,218760.71613999995,696.595,238.434,,925.1,,2615.62,
EBM572,2024-08-14T11:00:00+00:00,1.0,,Mucosal,,,,EBM572_754368_taxon_report.csv,,,,,,,,,,,,,,,1711.79,,,,,,34.5777,,30.7812,,6.01863,,,,9.15501,,54550.98012,,,,,,,
EBM573,2024-08-14T11:00:00+00:00,1.0,,Mucosal,,,,EBM573_754367_taxon_report.csv,,,,,,,,,,,,,,8.65087,60172.2,,,,,,15.5705,,581.7674,,12.7515,,,,7.39349,,274279.6503,,,,,,3145.36,
EBM574,2024-08-14T11:00:00+00:00,1.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM575,2024-08-14T11:00:00+00:00,7.0,,Mucosal,,,,EBM575_754366_taxon_report.csv,9.90033,,,,,,,,,4.88528,,,,,26855.04436,,,,,,44.6813,,399.06829,,25.6403,,,,,,273618.37988,902.97,894.455,,383.215,815.588,1891.71,
EBM576,2024-08-14T11:00:00+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM577,2024-08-14T11:00:00+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM578,2024-08-14T11:00:00+00:00,,,Sediment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM579,2024-08-14T11:00:00+00:00,,,Sediment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM580,2024-08-14T11:00:00+00:00,7.0,Pre,Water (Unfiltered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM581,2024-08-14T11:00:00+00:00,7.0,Post,Water (Unfiltered),,,,EBM581_754365_taxon_report.csv,,,,,,,,22.2699,4.47404,1013.3156,45.5873,244.956,,,36530.791000000005,,,,,,64.38672,,103968.4049,,32.1102,,,,71307.66399999999,,16954.37436,2727.3,,,,,,
EBM582,2024-08-14T11:00:00+00:00,1.0,Pre,Water (Unfiltered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM583,2024-08-14T11:00:00+00:00,1.0,Post,Water (Unfiltered),,,,EBM583_754364_taxon_report.csv,,,,,,,,5.4074,50.13,6.22698,,,,,7883.66,,,,,,2.20924,,83279.96024999999,,,,,,19547.19426,374.014,28255.25421,,,,,,23515.8,
EBM584,2024-09-04T09:33:00+00:00,1.0,,Mucosal,,,,EBM584_754363_taxon_report.csv,2.53607,,,,,,,,,2.53409,,,,,36137.70175,,,,,,73.08804,,136.983,,18.20245,,4.20375,,5.51027,,106082.55535,,,,,,,
EBM585,2024-09-04T09:33:00+00:00,1.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM586,2024-09-04T09:32:00+00:00,7.0,,Mucosal,,,,EBM586_754362_taxon_report.csv,6.75152,,,,,,,3.43863,,,,,,,23926.766880000003,4.36688,,,,,,,147.121,,,,,,,,108246.8356,,,,,,57037.0,
EBM587,2024-09-04T09:32:00+00:00,7.0,,Mucosal,,,,EBM587_754361_taxon_report.csv,,,,,,,,,,33.2327,,,,,1043.96,,,,,,38.24505,,,,14.6118,,,,21.27153,8.31953,538091.31852,,,,,,453778.0,
EBM588,2024-09-04T09:32:00+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM589,2024-09-04T09:32:00+00:00,1.0,,Mucosal,,,,EBM589_754360_taxon_report.csv,24.23629,,,101.843,101.843,,,10.718990000000002,,,,,,4.3202,7744.1618,,,,,,17.54324,,661.53009,13.8413,1.96626,,,,,,123474.17048,,268.011,,162.307,531.317,8775.86,
EBM590,2024-09-04T09:32:00+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM591,2024-09-04T09:33:00+00:00,1.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM592,2024-09-04T09:32:00+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM593,2024-09-04T09:32:00+00:00,7.0,,Mucosal,,,,EBM593_754359_taxon_report.csv,98.30677,,,87.682,87.682,,,,23.337290000000003,11.18079,,,,,832.979,,,,,,1410.17822,13.4778,388.64028,,17.1207,,,,,,296917.35971,,,,,,36531.9,
EBM594,2024-09-04T09:33:00+00:00,1.0,,Mucosal,,,,EBM594_754358_taxon_report.csv,,,,,,,,13.3942,,,,,,,43143.4,,,,,,49.47225,,230.90912,,22.6895,,,,,,174261.86564,,,,,,,
EBM595,2024-09-04T09:32:00+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM596,2024-09-04T09:33:00+00:00,1.0,,Mucosal,,,,EBM596_754357_taxon_report.csv,,,,,,,,25.7779,,,,,,,8118.85,,,,,,,,,,10.74041,,5.62319,,,,67118.45282,,,,,,,
EBM597,2024-09-04T09:32:00+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM598,2024-09-04T09:32:00+00:00,1.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM599,2024-09-04T09:32:00+00:00,1.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM600,2024-09-04T09:32:00+00:00,,,Biofilter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM601,2024-09-04T09:32:00+00:00,,,Biofilter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM602,2024-09-04T09:32:00+00:00,1.0,Pre,Water (Unfiltered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM603,2024-09-04T09:32:00+00:00,1.0,Post,Water (Unfiltered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM604,2024-09-04T09:32:00+00:00,7.0,Pre,Water (Unfiltered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM605,2024-09-04T09:32:00+00:00,7.0,Post,Water (Unfiltered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM717,2024-09-24T09:40:00+00:00,1.0,,Mucosal,,,,EBM717_754356_taxon_report.csv,,,,,,,,,,4.43892,,,,,814.382,,,,,,127.8478,,42.8791,,17.5879,,,,,,229246.16811,,,,422.079,,,
EBM718,2024-09-24T09:39:00+00:00,1.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM719,2024-09-24T09:40:00+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM720,2024-09-24T11:00:00+00:00,1.0,,Mucosal,,,,EBM720_754355_taxon_report.csv,211.525,,,,,,,17.05082,,,,,1.03292,,410.259,,0.964662,0.964662,,,261.933985,,452.53168,,7.71457,,,,,,203019.78539,632.229,320.644,,679.66,763.038,1997.85,
EBM721,2024-09-24T09:40:00+00:00,1.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM722,2024-09-24T09:40:00+00:00,7.0,,Mucosal,,,,EBM722_754354_taxon_report.csv,,,,,,,,,,,,,,,2579.6800000000003,,,,,,,,107.435,,23.6707,,,,,,151322.1108,,524.126,,,,,
EBM723,2024-09-24T09:40:00+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM724,2024-09-24T09:40:00+00:00,7.0,,Mucosal,,,,EBM724_754353_taxon_report.csv,,,,549.141,,,,,,,,,1.8353,,8443.21,,,,,,,,105.8446,,8.09373,,,,,,393483.74967,1052.3,714.257,,1428.85,1274.41,162234.0,
EBM725,2024-09-24T09:40:00+00:00,1.0,Post,Water (Unfiltered),,,,EBM725_754352_taxon_report.csv,,,,,,,,,,6.57984,,,,,12051.012,,,,,,14.3316,,79.41003,,,,,2.24044,,,576.19018,,,,,,,
EBM726,2024-09-24T09:40:00+00:00,7.0,Pre,Water (Unfiltered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM727,2024-09-24T09:40:00+00:00,1.0,Pre,Water (Unfiltered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM728,2024-09-24T09:40:00+00:00,7.0,Post,Water (Unfiltered),,,,EBM728_754351_taxon_report.csv,,,,,,,,6.43606,4.72528,,,,,,20412.6,,83.9598,,,,,,4.344,1.39902,7.62756,,,,,,94585.51637,265.529,,,287.164,,75080.5,
EBM729,2025-05-19T12:36:02+00:00,,,Water (Unfiltered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM730,2025-05-19T12:36:02+00:00,,,Water (Unfiltered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM731,2024-10-11T12:36:53+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM732,2024-10-11T12:36:53+00:00,1.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM733,2024-10-11T12:36:53+00:00,1.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM734,2024-10-11T12:36:53+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM735,2024-10-11T12:36:53+00:00,1.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM736,2024-10-11T12:36:53+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM737,2024-10-11T12:36:53+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM738,2024-10-11T12:36:53+00:00,1.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM739,2024-10-11T12:36:53+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM740,2024-10-11T12:36:53+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM741,2024-10-11T12:36:53+00:00,1.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM742,2024-10-11T12:36:53+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM743,2024-10-11T12:36:53+00:00,1.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM744,2024-10-11T12:36:53+00:00,1.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM745,2024-10-11T12:36:53+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM746,2024-10-11T12:36:53+00:00,1.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM747,2024-10-11T12:37:57+00:00,1.0,Post,Water (Unfiltered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM748,2024-10-11T12:37:57+00:00,7.0,Post,Water (Unfiltered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
